,@D,@T,@NVl,@Vl,@L,@Cl,@St,@UI_1
0,1,2:46:15 PM,"4,671.9160","4,671.9160 Feet",0,,2,3
1,4,12:01:55 PM,"4,826.1160","4,826.1160 Feet",0,,2,5
2,6,12:28:25 PM,"4,606.2990","4,606.2990 Feet",0,,2,5
3,7,4:44:55 PM,"4,878.6090","4,878.6090 Feet",0,,2,5
4,8,3:42:15 PM,"1,765.0920","1,765.0920 Feet",0,,2,5
5,9,1:09:45 PM,"4,793.3070","4,793.3070 Feet",0,,2,5
6,10,1:17:25 PM,"1,729.0030","1,729.0030 Feet",0,,2,5
7,11,11:35:27 AM,"4,842.5200","4,842.5200 Feet",0,,2,5
8,12,12:47:15 PM,"1,712.5990","1,712.5990 Feet",0,,2,5
