,@D,@T,@NVl,@Vl,@L,@Cl,@St,@UI_1
74,606,4:54:00 AM,12,12 Volts,0,,2,3
75,607,4:54:00 AM,12,12 Volts,0,,2,3
76,608,4:54:00 AM,14,14 Volts,0,,2,3
77,609,4:54:00 AM,12,12 Volts,0,,2,3
78,609,6:20:00 PM,13,13 Volts,0,,2,3
79,611,4:54:00 AM,12,12 Volts,0,,2,3
80,611,11:19:00 AM,14,14 Volts,0,,2,3
81,611,10:54:00 PM,13,13 Volts,0,,2,3
82,612,4:54:00 AM,12,12 Volts,0,,2,3
83,612,7:09:00 AM,14,14 Volts,0,,2,3
84,612,8:58:00 AM,13,13 Volts,0,,2,3
85,612,11:07:00 AM,14,14 Volts,0,,2,3
86,612,6:52:00 PM,13,13 Volts,0,,2,3
87,614,4:54:00 AM,12,12 Volts,0,,2,3
88,614,9:05:00 AM,14,14 Volts,0,,2,3
89,615,12:58:00 AM,13,13 Volts,0,,2,3
90,615,4:54:00 AM,12,12 Volts,0,,2,3
91,615,11:16:00 AM,14,14 Volts,0,,2,3
92,615,9:03:00 PM,13,13 Volts,0,,2,3
93,616,4:54:00 AM,12,12 Volts,0,,2,3
94,616,11:54:00 AM,14,14 Volts,0,,2,3
95,617,4:54:00 AM,13,13 Volts,0,,2,3
96,617,8:20:00 AM,12,12 Volts,0,,2,3
97,617,4:35:00 PM,14,14 Volts,0,,2,3
98,617,11:24:00 PM,13,13 Volts,0,,2,3
99,618,4:54:00 AM,12,12 Volts,0,,2,3
100,619,4:54:00 AM,12,12 Volts,0,,2,3
101,619,8:54:00 AM,14,14 Volts,0,,2,3
102,620,4:54:00 AM,13,13 Volts,0,,2,3
103,621,4:54:00 AM,12,12 Volts,0,,2,3
104,622,4:54:00 AM,14,14 Volts,0,,2,3
105,623,4:54:00 AM,14,14 Volts,0,,2,3
106,624,4:54:00 AM,12,12 Volts,0,,2,3
107,625,4:54:00 AM,12,12 Volts,0,,2,3
108,626,4:54:00 AM,14,14 Volts,0,,2,3
109,627,4:54:00 AM,12,12 Volts,0,,2,3
110,628,4:54:00 AM,13,13 Volts,0,,2,3
111,629,4:54:00 AM,12,12 Volts,0,,2,3
112,629,4:54:00 PM,14,14 Volts,0,,2,3
113,630,4:54:00 AM,12,12 Volts,0,,2,3
114,631,4:54:00 AM,13,13 Volts,0,,2,3
115,632,4:54:00 AM,14,14 Volts,0,,2,3
116,633,4:54:00 AM,13,13 Volts,0,,2,3
117,634,4:54:00 AM,12,12 Volts,0,,2,3
118,635,4:54:00 AM,12,12 Volts,0,,2,3
119,635,2:54:00 PM,14,14 Volts,0,,2,3
120,636,4:54:00 AM,12,12 Volts,0,,2,3
121,636,4:54:00 PM,14,14 Volts,0,,2,3
122,637,4:54:00 AM,13,13 Volts,0,,2,3
123,637,7:54:00 AM,12,12 Volts,0,,2,3
124,637,1:22:00 PM,14,14 Volts,0,,2,3
125,637,5:31:00 PM,14,14 Volts,0,,2,3
126,638,1:54:00 AM,12,12 Volts,0,,2,3
127,638,4:54:00 AM,14,14 Volts,0,,2,3
128,638,1:56:00 PM,13,13 Volts,0,,2,3
129,639,12:51:00 AM,13,13 Volts,0,,2,3
130,639,4:54:00 AM,12,12 Volts,0,,2,3
131,639,9:56:00 AM,12,12 Volts,0,,2,3
132,639,10:43:00 AM,14,14 Volts,0,,2,3
133,640,4:54:00 AM,12,12 Volts,0,,2,3
134,640,12:54:00 PM,14,14 Volts,0,,2,3
135,641,4:54:00 AM,13,13 Volts,0,,2,3
136,642,4:54:00 AM,12,12 Volts,0,,2,3
137,642,9:54:00 AM,12,12 Volts,0,,2,3
138,643,4:54:00 AM,12,12 Volts,0,,2,3
139,644,4:54:00 AM,13,13 Volts,0,,2,3
140,644,2:17:00 PM,14,14 Volts,0,,2,3
141,645,4:54:00 AM,12,12 Volts,0,,2,3
142,645,8:54:00 AM,12,12 Volts,0,,2,3
143,645,9:34:00 AM,14,14 Volts,0,,2,3
144,646,4:54:00 AM,13,13 Volts,0,,2,3
145,647,4:54:00 AM,12,12 Volts,0,,2,3
146,648,4:54:00 AM,12,12 Volts,0,,2,3
147,648,2:54:00 PM,14,14 Volts,0,,2,3
148,649,4:54:00 AM,12,12 Volts,0,,2,3
149,649,3:56:00 PM,14,14 Volts,0,,2,3
150,650,4:54:00 AM,13,13 Volts,0,,2,3
151,651,4:54:00 AM,12,12 Volts,0,,2,3
152,652,4:54:00 AM,13,13 Volts,0,,2,3
153,653,4:54:00 AM,12,12 Volts,0,,2,3
154,653,11:54:00 AM,14,14 Volts,0,,2,3
155,653,10:54:00 PM,13,13 Volts,0,,2,3
156,654,4:54:00 AM,12,12 Volts,0,,2,3
157,655,4:54:00 AM,12,12 Volts,0,,2,3
158,656,4:54:00 AM,14,14 Volts,0,,2,3
159,656,6:54:00 AM,12,12 Volts,0,,2,3
160,657,4:54:00 AM,12,12 Volts,0,,2,3
161,657,5:54:00 PM,14,14 Volts,0,,2,3
162,658,4:54:00 AM,14,14 Volts,0,,2,3
163,659,4:54:00 AM,12,12 Volts,0,,2,3
164,660,4:54:00 AM,12,12 Volts,0,,2,3
165,660,8:20:00 AM,13,13 Volts,0,,2,3
166,661,4:54:00 AM,12,12 Volts,0,,2,3
167,661,8:42:00 AM,14,14 Volts,0,,2,3
168,661,12:53:00 PM,14,14 Volts,0,,2,3
169,661,3:05:00 PM,14,14 Volts,0,,2,3
170,661,5:52:00 PM,14,14 Volts,0,,2,3
171,662,4:54:00 AM,12,12 Volts,0,,2,3
172,662,9:06:00 AM,13,13 Volts,0,,2,3
173,662,7:54:00 PM,14,14 Volts,0,,2,3
174,662,8:03:00 PM,13,13 Volts,0,,2,3
175,663,4:54:00 AM,12,12 Volts,0,,2,3
176,663,2:21:00 PM,14,14 Volts,0,,2,3
177,663,2:38:00 PM,14,14 Volts,0,,2,3
178,664,4:54:00 AM,12,12 Volts,0,,2,3
179,664,6:10:00 AM,14,14 Volts,0,,2,3
180,665,4:54:00 AM,12,12 Volts,0,,2,3
181,666,4:54:00 AM,12,12 Volts,0,,2,3
182,667,4:54:00 AM,12,12 Volts,0,,2,3
183,667,10:13:00 PM,13,13 Volts,0,,2,3
184,668,4:54:00 AM,12,12 Volts,0,,2,3
185,668,8:56:00 AM,13,13 Volts,0,,2,3
186,669,12:54:00 AM,12,12 Volts,0,,2,3
187,669,4:54:00 AM,12,12 Volts,0,,2,3
188,670,4:54:00 AM,12,12 Volts,0,,2,3
189,670,10:54:00 AM,13,13 Volts,0,,2,3
190,671,1:39:00 AM,13,13 Volts,0,,2,3
191,671,4:54:00 AM,13,13 Volts,0,,2,3
192,671,9:26:00 AM,14,14 Volts,0,,2,3
193,671,11:45:00 AM,14,14 Volts,0,,2,3
194,671,7:54:00 PM,13,13 Volts,0,,2,3
195,672,4:54:00 AM,12,12 Volts,0,,2,3
196,672,8:31:00 AM,14,14 Volts,0,,2,3
197,672,9:54:00 AM,13,13 Volts,0,,2,3
198,672,12:50:00 PM,14,14 Volts,0,,2,3
199,672,4:15:00 PM,14,14 Volts,0,,2,3
200,673,4:54:00 AM,12,12 Volts,0,,2,3
201,673,9:54:00 AM,12,12 Volts,0,,2,3
202,673,3:54:00 PM,14,14 Volts,0,,2,3
203,674,3:54:00 AM,13,13 Volts,0,,2,3
204,674,4:54:00 AM,12,12 Volts,0,,2,3
205,674,3:54:00 PM,14,14 Volts,0,,2,3
206,675,4:54:00 AM,13,13 Volts,0,,2,3
207,676,3:54:00 AM,12,12 Volts,0,,2,3
208,676,4:54:00 AM,12,12 Volts,0,,2,3
209,677,4:54:00 AM,12,12 Volts,0,,2,3
210,678,4:54:00 AM,12,12 Volts,0,,2,3
211,679,4:54:00 AM,12,12 Volts,0,,2,3
212,680,4:54:00 AM,13,13 Volts,0,,2,3
213,681,4:54:00 AM,13,13 Volts,0,,2,3
214,682,4:54:00 AM,13,13 Volts,0,,2,3
215,683,4:54:00 AM,12,12 Volts,0,,2,3
216,684,4:54:00 AM,12,12 Volts,0,,2,3
217,684,9:54:00 AM,14,14 Volts,0,,2,3
218,685,3:54:00 AM,14,14 Volts,0,,2,3
219,685,4:54:00 AM,13,13 Volts,0,,2,3
220,685,9:54:00 PM,13,13 Volts,0,,2,3
221,686,4:54:00 AM,14,14 Volts,0,,2,3
222,687,4:54:00 AM,12,12 Volts,0,,2,3
223,687,2:54:00 PM,13,13 Volts,0,,2,3
224,688,4:54:00 AM,12,12 Volts,0,,2,3
225,689,4:54:00 AM,12,12 Volts,0,,2,3
226,689,5:54:00 AM,12,12 Volts,0,,2,3
227,690,4:54:00 AM,12,12 Volts,0,,2,3
228,691,12:54:00 AM,12,12 Volts,0,,2,3
229,691,4:54:00 AM,13,13 Volts,0,,2,3
230,692,4:54:00 AM,14,14 Volts,0,,2,3
231,692,6:54:00 AM,12,12 Volts,0,,2,3
232,692,7:45:00 PM,13,13 Volts,0,,2,3
233,693,4:54:00 AM,12,12 Volts,0,,2,3
234,693,8:07:00 AM,12,12 Volts,0,,2,3
235,693,6:54:00 PM,13,13 Volts,0,,2,3
236,694,1:08:00 AM,12,12 Volts,0,,2,3
237,694,4:54:00 AM,12,12 Volts,0,,2,3
238,694,11:32:00 AM,13,13 Volts,0,,2,3
239,696,4:54:00 AM,12,12 Volts,0,,2,3
240,697,4:54:00 AM,13,13 Volts,0,,2,3
241,698,4:54:00 AM,12,12 Volts,0,,2,3
242,699,4:54:00 AM,13,13 Volts,0,,2,3
243,700,4:54:00 AM,12,12 Volts,0,,2,3
244,701,4:54:00 AM,12,12 Volts,0,,2,3
245,702,4:54:00 AM,12,12 Volts,0,,2,3
246,703,4:54:00 AM,13,13 Volts,0,,2,3
247,704,4:54:00 AM,12,12 Volts,0,,2,3
248,704,1:54:00 PM,14,14 Volts,0,,2,3
249,705,1:54:00 AM,14,14 Volts,0,,2,3
250,705,4:54:00 AM,13,13 Volts,0,,2,3
251,706,1:54:00 AM,12,12 Volts,0,,2,3
252,706,4:57:00 AM,12,12 Volts,0,,2,3
253,707,4:54:00 AM,12,12 Volts,0,,2,3
254,708,4:54:00 AM,13,13 Volts,0,,2,3
255,708,6:54:00 PM,12,12 Volts,0,,2,3
256,709,4:54:00 AM,12,12 Volts,0,,2,3
257,710,4:54:00 AM,12,12 Volts,0,,2,3
258,710,6:20:00 AM,12,12 Volts,0,,2,3
259,710,9:14:00 AM,14,14 Volts,0,,2,3
260,711,4:54:00 AM,12,12 Volts,0,,2,3
261,711,11:54:00 PM,12,12 Volts,0,,2,3
262,712,4:54:00 AM,12,12 Volts,0,,2,3
263,713,4:54:00 AM,12,12 Volts,0,,2,3
264,714,4:54:00 AM,13,13 Volts,0,,2,3
265,714,5:54:00 AM,12,12 Volts,0,,2,3
266,714,11:54:00 AM,14,14 Volts,0,,2,3
267,714,5:54:00 PM,13,13 Volts,0,,2,3
268,715,4:54:00 AM,12,12 Volts,0,,2,3
269,716,4:54:00 AM,13,13 Volts,0,,2,3
270,716,5:54:00 AM,12,12 Volts,0,,2,3
271,717,4:54:00 AM,12,12 Volts,0,,2,3
272,717,5:54:00 AM,12,12 Volts,0,,2,3
273,718,4:54:00 AM,13,13 Volts,0,,2,3
274,718,12:56:00 PM,13,13 Volts,0,,2,3
