,@ASSETID,@ASSETNAME,@LEASENAME,@STATUS,@ALARMCOLOR,@COLUMNCOUNT,@MODULENAME,@MODULEURL,@SAMPLETIME
10,10221,MP-1221,"NATIONAL HOG FARM 31,32,33,41,42-21",Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10221&amp;ANm=MP-1221&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10221&amp;ANm=MP-1221&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
11,10223,MP-1225,LAJCO 17U-343,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10223&amp;ANm=MP-1225&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10223&amp;ANm=MP-1225&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
12,10229,MP-1240,LEFFLER 26Q-421,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10229&amp;ANm=MP-1240&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10229&amp;ANm=MP-1240&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
13,10256,MP-1277,HANKIN 31-22H,ACTIVE,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10256&amp;ANm=MP-1277&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=28|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10256&amp;ANm=MP-1277&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=28,12/29/1899 06:00 PM
14,10262,MP-1285,"JEFFERS 11,21,35",Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10262&amp;ANm=MP-1285&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10262&amp;ANm=MP-1285&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
15,2762,MP-1302,BECKER RANCH 5R-203,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2762&amp;ANm=MP-1302&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=65|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2762&amp;ANm=MP-1302&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=65,12/29/1899 06:00 PM
16,10316,MP-138,DILLARD 20T-401,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10316&amp;ANm=MP-138&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10316&amp;ANm=MP-138&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
17,10327,MP-1390,DILLARD 20R-303,Active,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10327&amp;ANm=MP-1390&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10327&amp;ANm=MP-1390&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
18,10336,MP-1404,SPAUR 10T-241,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10336&amp;ANm=MP-1404&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10336&amp;ANm=MP-1404&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
19,10343,MP-1416,"WELL RANCH 31,32,42-34",Active,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10343&amp;ANm=MP-1416&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10343&amp;ANm=MP-1416&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
20,10345,MP-1421,"RICHTER 34M-203, 34M-423, 34R-343 VRU",Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10345&amp;ANm=MP-1421&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10345&amp;ANm=MP-1421&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
21,10347,MP-1428,TATEYAMA 15U-434,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10347&amp;ANm=MP-1428&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10347&amp;ANm=MP-1428&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
22,10348,MP-1429,WASTE MANAGEMENT #3-2L-301,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10348&amp;ANm=MP-1429&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10348&amp;ANm=MP-1429&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
23,2826,MP-1478,LAJCO 17M-423,ACTIVE,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2826&amp;ANm=MP-1478&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2826&amp;ANm=MP-1478&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
24,2600,MP-150,"SCHRANDT 23, 24-12 SEC.12 &amp;",Active,FF0000,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2600&amp;ANm=MP-150&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=65|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2600&amp;ANm=MP-150&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=65,12/29/1899 06:00 PM
25,2773,MP-1562,GUTTERSEN 6R-243,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2773&amp;ANm=MP-1562&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=57|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2773&amp;ANm=MP-1562&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=57,12/29/1899 06:00 PM
26,2611,MP-1568,"EHRLICH 5E-423,5E-323,5J-243,5J-303",Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2611&amp;ANm=MP-1568&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=58|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2611&amp;ANm=MP-1568&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=58,12/29/1899 06:00 PM
27,10439,MP-159,DANIELSON 15G-412,Active,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=10439&amp;ANm=MP-159&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=65|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=10439&amp;ANm=MP-159&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=65,12/29/1899 06:00 PM
28,2908,MP-160,O INVESTMENT PROPERTIES 6Y-401,ACTIVE,666666,0,|Field Data|Runtime Report,|https://csi.m2mops.com/Components/Modules/Custom/CSI/FieldData/FieldData.asp?AId=2908&amp;ANm=MP-160&amp;MId=33&amp;MNm=Field Data&amp;SMR=1&amp;ATId=65|https://csi.m2mops.com/Components/Modules/TabPageFrameset/TabPageMasterScroll.asp?AId=2908&amp;ANm=MP-160&amp;MId=16&amp;MNm=Runtime Report&amp;SMR=1&amp;ATId=65,12/29/1899 06:00 PM
