,@D,@T,@NVl,@Vl,@L,@Cl,@St,@UI_1
0,1,2:46:15 PM,-104.7002,-104.7002 Degrees,0,,2,3
1,4,12:01:55 PM,-104.5811,-104.5811 Degrees,0,,2,5
2,6,12:28:25 PM,-104.5793,-104.5793 Degrees,0,,2,5
3,7,4:44:55 PM,-104.5809,-104.5809 Degrees,0,,2,5
4,8,3:42:15 PM,-104.5779,-104.5779 Degrees,0,,2,5
5,9,1:09:45 PM,-104.5811,-104.5811 Degrees,0,,2,5
6,10,1:17:25 PM,-104.5790,-104.5790 Degrees,0,,2,5
7,11,11:35:27 AM,-104.5809,-104.5809 Degrees,0,,2,5
8,12,12:47:15 PM,-104.5784,-104.5784 Degrees,0,,2,5
