,@D,@T,@NVl,@Vl,@L,@Cl,@St,@UI_1
0,1,2:46:15 PM,40.3726,40.3726 Degrees,0,,2,3
1,4,12:01:55 PM,40.2601,40.2601 Degrees,0,,2,5
2,6,12:28:25 PM,40.2608,40.2608 Degrees,0,,2,5
3,7,4:44:55 PM,40.2603,40.2603 Degrees,0,,2,5
4,8,3:42:15 PM,40.2614,40.2614 Degrees,0,,2,5
5,9,1:09:45 PM,40.2603,40.2603 Degrees,0,,2,5
6,10,1:17:25 PM,40.2596,40.2596 Degrees,0,,2,5
7,11,11:35:27 AM,40.2603,40.2603 Degrees,0,,2,5
8,12,12:47:15 PM,40.2612,40.2612 Degrees,0,,2,5
